player_uid,player_name,team_code,school_name,conference,season,throws,class_year,production_rank,draft_value_score,reach_score,stuff_score,command_score,risk_score,pitch_count,avg_fb_velo,max_fb_velo,avg_ivb,avg_hb,extension,avg_spin,csw_pct,whiff_pct,zone_pct,arsenal_count,trend_delta,data_completeness_score,one_season_only_flag,missing_critical_count,export_ts
p_1000123512,Andrew Stanley,CIT_BUL,The Citadel,SoCon,2025,Right,Unknown,422,42.59509883914447,60.807721321699496,35.349580543667926,57.68404069810457,50.15,56,88.62561578947368,95.77849,6.761802321428571,3.4879775000000004,6.49789125,2271.1686744642857,42.857142857142854,23.529411764705884,42.857142857142854,5,0,19.64285714285714,TRUE,45,2026-05-08 21:25:59 UTC
p_811574,Kellan Montgomery,SAN_GAU,Santa Clara,WCC,2026,Right,Unknown,423,42.50706805414027,55.76049127902632,45.70822264885802,29.345231880346986,42.65,68,90.65117517241379,94.29657,3.645372205882353,5.448280441176471,5.347487941176472,2306.481725088235,25,18.51851851851852,38.23529411764706,5,1.4634289819375965,27.941176470588232,FALSE,49,2026-05-08 21:25:59 UTC
p_823746,Harrison Bodendorf,OKL_COW,Oklahoma State,Big 12,2025,Left,Unknown,424,42.502655646226,58.883560535836665,43.24161753473649,35.25067127543286,50.15,94,89.97634893617021,96.19512,6.236999255319149,-13.178735319148936,5.5810709574468085,2162.281016425532,32.97872340425532,41.46341463414634,29.78723404255319,4,0,21.276595744680847,TRUE,74,2026-05-08 21:25:59 UTC
p_822526,Camden Wimbish,CAM_CAM,Campbell,CAA,2026,Right,Unknown,425,42.413010584822786,67.70764608345658,46.52406918803667,3.121999077297661,50.15,56,90.64110666666667,93.04361,4.525969285714285,0.682122857142857,6.1096232142857145,2405.544607357143,19.642857142857142,26.923076923076923,35.714285714285715,6,0,28.57142857142857,TRUE,40,2026-05-08 21:25:59 UTC
p_832360,Henry Zatkowski,VIR_CAV,Virginia,ACC,2026,Left,Unknown,426,42.38152017559143,50.80571966171737,28.80784390322923,96.40397561583825,42.65,53,88.72798833333333,91.36357,5.154707169811321,-1.8958230188679246,5.761768679245283,2153.0339629622636,35.84905660377358,26.31578947368421,50.943396226415096,7,0.3738073809523854,24.52830188679245,FALSE,40,2026-05-08 21:25:59 UTC
p_1000367090,Chase Hanawalt,FOR_RAM,Fordham,Atlantic 10,2026,Right,Unknown,427,42.34906299233295,49.656163724004,35.78224575863948,75.62188539741206,42.65,52,89.48352440000001,93.65617,6.860562692307692,1.0035857692307693,5.870852307692307,2226.7203456346156,25,18.51851851851852,51.92307692307692,5,0.17365398333336657,30.769230769230774,FALSE,36,2026-05-08 21:25:59 UTC
p_823673,Jackson Thomas,WAS_HUS,Washington,Big Ten,2025,Right,Unknown,428,42.31349298103907,49.96860981103437,47.73366138011381,34.81765904746759,42.65,60,90.82777818181819,92.57384,10.638573728813558,-2.7430030508474577,6.086694333333332,2260.4864366333327,18.333333333333332,20,38.333333333333336,3,0,31.66666666666667,FALSE,41,2026-05-08 21:25:59 UTC
p_804862,Patrick Steitz,VCU_RAM,VCU,Atlantic 10,2026,Right,Unknown,429,42.313133253139206,54.22798723172877,33.555897459163894,72.13592661634796,42.65,72,88.97653975609757,94.12644,12.665994583333331,5.877028749999999,6.444053750000001,2008.633550916667,26.38888888888889,14.285714285714286,47.22222222222222,5,0.7635272560975608,40.27777777777778,FALSE,43,2026-05-08 21:25:59 UTC
p_1000069414,Garrett Gainous,TRO_TRJ,Troy,Sun Belt,2025,Right,Unknown,430,42.280265576726926,52.70065357169273,36.855418274943645,69.48218459441767,50.15,52,90.03637571428571,92.3215,11.304795576923075,7.592383269230769,6.594697692307694,2010.0397798076922,26.923076923076923,23.076923076923077,53.84615384615385,3,0,36.53846153846154,TRUE,33,2026-05-08 21:25:59 UTC
p_822637,Joseph Taylor,CHA_FOR,Charlotte,American,2025,Right,Unknown,431,42.22306980979606,49.16063178514478,45.06884655133998,44.98283606216931,42.65,63,90.75835285714285,92.99103,2.4352857142857145,1.0744714285714285,5.444363333333334,2344.3314102539684,31.746031746031747,17.647058823529413,41.26984126984127,5,0,14.285714285714292,FALSE,54,2026-05-08 21:25:59 UTC
