player_uid,player_name,season,exit_speed,angle,direction
h_824567,"Lutterman, Hudson",2026,69.10601,67.978681,41.703408
h_838741,"Daniel, Pete",2026,81.00644,17.796246,-10.777464
h_1000118912,"Melendez, Axel",2026,86.44429000000001,-34.352591,60.328245
h_1000328644,"Fetterman, Tyler",2026,102.92565,6.755168,-13.580972
h_1000119183,"Curless, Tristan",2026,78.9573,71.786143,-25.295584
h_838742,"Grube, Sam",2026,56.810340000000004,24.999503,-8.817943
h_805714,"Cooke, Henry",2026,100.01872,35.678706,-12.531315
h_838743,"Petrich, Owen",2026,94.46364,27.142283,-11.198709
h_1000314364,"Guanzon, Ian",2026,98.55555,17.174998,1.937858
h_1000281920,"Galusky, Ty",2026,55.113,12.202181,-13.55693
h_831482,"Ball, Ethan",2026,91.65153000000001,9.975732,31.664671
h_811781,"Gates, Sam",2026,24.10205,-35.660281,-50.543773
h_824567,"Lutterman, Hudson",2026,67.52185,5.821832,-28.779813
h_838741,"Daniel, Pete",2026,35.467740000000006,-67.812678,26.235928
h_1000142987,"Palmese, Jamie",2026,54.54046,-44.673567,-28.480686
h_831482,"Ball, Ethan",2026,104.18924,21.358237,13.873239
h_1000328644,"Fetterman, Tyler",2026,94.14752,-7.270975,42.212125
h_1000119183,"Curless, Tristan",2026,87.05409,34.364935,26.218367
h_838741,"Daniel, Pete",2026,101.56559,5.879742,10.690566
h_695674,"Hughes, Treyson",2026,29.900119999999998,-28.530832,-39.245548
h_838742,"Grube, Sam",2026,93.82889,1.97197,24.837665
h_838743,"Petrich, Owen",2026,93.32053,44.685449,3.339511
h_1000314364,"Guanzon, Ian",2026,82.15538000000001,14.81049,-26.304206
h_1000148955,"Ferguson, Henry",2026,85.8506,6.528604,25.258103
h_1000242407,"Matlock, Luke",2026,87.29738,-12.606556,25.088386
h_811781,"Gates, Sam",2026,96.26585,30.315887,1.103395
h_1000118912,"Melendez, Axel",2026,88.08251,-9.855347,25.759545
h_1000328644,"Fetterman, Tyler",2026,98.26524,32.402041,8.343273
h_1000314364,"Guanzon, Ian",2026,91.51092,-8.7532,18.525735
h_1000242087,"Juarez, Gabe",2026,101.04315,10.735766,21.567106
